"Factors","p^a >","Smallest q^2ß","Smallest q^2ß <","Largest q^2ß","Largest q^2ß >","Q^2 =1 mod 16","Q^2 =1 mod 32","N >","N=1 mod 12","N=117 mod 468","N=81 mod 324","105 | N","s(n)/n˜"
(5^173)(3^86)(13^86)(17^86)(19^86)(23^86)(29^86)(31^86)(37^86)(41^86),10^120,q1^2ß1,10^42,q9^2ß9,10^138,no,no,10^1118,no,yes,yes,no,2.685233535897081293674175618620063064507500645169700105882766155303449483253768612420250309000664537743805510818402734516629739080151931548868441651911933529220600221913280247599822890528457365336981
(5^177)(3^88)(13^88)(17^88)(19^88)(23^88)(29^88)(31^88)(37^88)(41^88),10^123,q1^2ß1,10^42,q9^2ß9,10^141,yes,yes,10^1144,no,yes,yes,no,2.685233535897081293674175618620063064507508028977430143178833826399698592516352617931194980562304051547741039907382370230013153265371243187109373335287253007264993182290012001493211559700510033962612
(5^181)(3^90)(13^90)(17^90)(19^90)(23^90)(29^90)(31^90)(37^90)(41^90),10^126,q1^2ß1,10^43,q9^2ß9,10^145,no,no,10^1170,no,yes,yes,no,2.685233535897081293674175618620063064507508849400511258433952456521504049101084174099077721846930629890281958107257195899771930703064333704282964973774497707269638414765373900303176814330211455129036
(5^185)(3^92)(13^92)(17^92)(19^92)(23^92)(29^92)(31^92)(37^92)(41^92),10^129,q1^2ß1,10^44,q9^2ß9,10^148,yes,no,10^1196,no,yes,yes,no,2.685233535897081293674175618620063064507508940558631382351187859868371322054943235895509137545222471725369629323631190799179924670877707122376879933580200259164520271986383862627434579178994357229739
(5^189)(3^94)(13^94)(17^94)(19^94)(23^94)(29^94)(31^94)(37^94)(41^94),10^132,q1^2ß1,10^45,q9^2ß9,10^151,no,no,10^1222,no,yes,yes,no,2.685233535897081293674175618620063064507508950687311396119769571351356574605372020539557072622810454150289461380401716411116666217914857356541709317271949798328205103988717303239895729687453895128566
(5^193)(3^96)(13^96)(17^96)(19^96)(23^96)(29^96)(31^96)(37^96)(41^96),10^134,q1^2ß1,10^46,q9^2ß9,10^154,yes,yes,10^1248,no,yes,yes,no,2.685233535897081293674175618620063064507508951812720286538500872627243824888752996611117954298098007753051224979934191555548501818635945408245011111340843725456440217477807585155739896391554046684137
(5^197)(3^98)(13^98)(17^98)(19^98)(23^98)(29^98)(31^98)(37^98)(41^98),10^137,q1^2ß1,10^47,q9^2ß9,10^158,no,no,10^1274,no,yes,yes,no,2.685233535897081293674175618620063064507508951937765718807248794991231297142461993952402496706463291486691378884378642869466174392572834489210212998364938318060586217941864501804739996082069074501264
(5^201)(3^100)(13^100)(17^100)(19^100)(23^100)(29^100)(31^100)(37^100)(41^100),10^140,q1^2ß1,10^48,q9^2ß9,10^161,yes,no,10^1300,no,yes,yes,no,2.685233535897081293674175618620063064507508951951659655725998564142785460726207438101434112529614989679318062402716302212077188052124705099897636870982301830486239237063673269523828666302399061437799
(5^205)(3^102)(13^102)(17^102)(19^102)(23^102)(29^102)(31^102)(37^102)(41^102),10^143,q1^2ß1,10^49,q9^2ß9,10^164,no,no,10^1326,no,yes,yes,no,2.685233535897081293674175618620063064507508951953203426494748538492958145568845820784659847621076289478498805014392606559003954921618802996096999566662865958270002553113053017249486939248432062596642
(5^209)(3^104)(13^104)(17^104)(19^104)(23^104)(29^104)(31^104)(37^104)(41^104),10^146,q1^2ß1,10^50,q9^2ß9,10^167,yes,yes,10^1352,no,yes,yes,no,2.685233535897081293674175618620063064507508951953374956580165202309643999440250085527240484853460878345074443082347928396223133089272269794473836799623040170623373833163661503245957055145703224029939
(5^213)(3^106)(13^106)(17^106)(19^106)(23^106)(29^106)(31^106)(37^106)(41^106),10^148,q1^2ß1,10^51,q9^2ß9,10^170,no,no,10^1378,no,yes,yes,no,2.685233535897081293674175618620063064507508951953394015478544831622609094314850559387527222323725832663582847312120690383519705741527015358467452967973114282874785736320219733550182754325372871745418
(5^217)(3^108)(13^108)(17^108)(19^108)(23^108)(29^108)(31^108)(37^108)(41^108),10^151,q1^2ß1,10^52,q9^2ß9,10^174,yes,no,10^1404,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396133133920345990716327078695056483114637598199716476750447782095441410410942266268166850446845591728207104863403167748247637227203577251661385244216
(5^221)(3^110)(13^110)(17^110)(19^110)(23^110)(29^110)(31^110)(37^110)(41^110),10^154,q1^2ß1,10^53,q9^2ß9,10^177,no,no,10^1430,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396368428962069809394908496900000604846572628696814678213514500981524856038387058347295026501303562289134144590365267583916276921335165241141539137904
(5^225)(3^112)(13^112)(17^112)(19^112)(23^112)(29^112)(31^112)(37^112)(41^112),10^157,q1^2ß1,10^54,q9^2ß9,10^180,yes,yes,10^1456,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396394572855594678136973098922772173927898743196492256153855247524423016652978732551993270885442276851034521504870950105455222252651829037427082332354
(5^229)(3^114)(13^114)(17^114)(19^114)(23^114)(29^114)(31^114)(37^114)(41^114),10^160,q1^2ß1,10^55,q9^2ß9,10^183,no,no,10^1482,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397477732652996886091388036413459381379422585345320369448663806967256721203501267546964186351935440271986723152589050840068481363194331600909299350
(5^233)(3^116)(13^116)(17^116)(19^116)(23^116)(29^116)(31^116)(37^116)(41^116),10^162,q1^2ß1,10^56,q9^2ß9,10^187,yes,no,10^1508,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397800496770587858215642382373602209543942517440105282292376727249950062116990522750027428629549397862068949496550220154035287263280377447030209334
(5^237)(3^118)(13^118)(17^118)(19^118)(23^118)(29^118)(31^118)(37^118)(41^118),10^165,q1^2ß1,10^57,q9^2ß9,10^190,no,no,10^1534,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397836359450320188451670643035840301562222509895081383719455940614693766662931560692559686303790676272127301005979614719922602222196743936458206773
